Active (0/1);Name *;Categories (x,y,z...);Price with tax;Price without tax;Description;Quantity;Image URLs (x,y,z...)
1;Rainbow High, Gabriella Icely, lalka modowa;Lalki/Lalki celebrytki;119.99;98.35245901639344;"Legenda głosi, że na końcu tęczy znajduje się garnek złota. Ale prawda jest taka, że to coś jeszcze bardziej niesamowitego. Tylko nieliczni, którzy znają się na modzie, mogą podążać za tęczą do Rainbow High, kolorowej szkoły mody, w której każdy uczy się pokazywać swoje prawdziwe kolory. Przedstawiamy Gabriellę Icely. Jest ubrana ""w lód"" czyli na jasnoniebiesko od stóp do głów. Ma wspaniałe rysy twarzy, długie rzęsy i piękne włosy, które można rozczesać. Jest w pełni ruchoma, jej ręce i nogi zginają się, więc może przybrać mnóstwo efektownych poz. Gabriella ma oko do projektowania mody i uwielbia opracowywać tkaniny. Jej lodowaty niebieski wygląd jest świeży i piękny. Ubrana w dzianinowy sweter z golfem, metaliczną spódnicę z tęczowym paskiem i buty z wężowej skóry jest niezwykle stylowa. Jej drugi strój to holograficzna sukienka, kurtka ze skóry węża i wysokie szpilki z paskami. Zestaw zawiera również grzebień do włosów, dwa wieszaki i stojak na lalki. Rada:  Podczas pierwszego rozpakowywania lalki dokładnie umyj jej włosy, aby usunąć żel do stylizacji i pozwól włosom całkowicie wyschnąć. Następnie jej włosy są gotowe do wyszczotkowania. Zbierz kolekcję pięknych lalek z Rainbow High! Wysokość lalki:  ok. 28 cm.  ";500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-gabriella-icely-lalka-modowa-7030595.jpg
1;Rainbow High, Skyler Bradshaw, lalka modowa;Lalki/Lalki celebrytki;139.99;114.74590163934428;Legenda głosi, że na końcu tęczy znajduje się garnek złota. Ale prawda jest taka, że to coś jeszcze bardziej niesamowitego. Tylko nieliczni, którzy znają się na modzie, mogą podążać za tęczą do Rainbow High, kolorowej szkoły mody, w której każdy uczy się pokazywać swoje prawdziwe kolory. Przedstawiamy Skyler Bradshaw. Jest ubrana na niebiesko od stóp do głów i ma wspaniałe rysy twarzy, długie rzęsy i piękne włosy, które można rozczesać. Jest w pełni ruchoma, jej ramiona i nogi zginają się, więc może przybrać mnóstwo efektownych poz. Skyler zawiera 2 kompletne stroje, które można łączyć i dopasowywać, aby uzyskać odważny, efektowny wygląd. Klasyczny styl z jeansem i odrobiną blasku lub jeansowy top i spódnicę, jeansową kurtkę, sukienkę, urocze skarpetki, szpilki i nie tylko. Zawiera również grzebień do włosów, dwa wieszaki i stojak na lalki. Rada:  Podczas pierwszego rozpakowywania lalki dokładnie umyj jej włosy, aby usunąć żel do stylizacji i pozwól włosom całkowicie wyschnąć. Następnie jej włosy są gotowe do wyszczotkowania. Zbierz kolekcję pięknych lalek z Rainbow High! Wysokość lalki:  ok. 28 cm.  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-skyler-bradshaw-lalka-modowa-6736228.jpg
1;Barbie, Przyczepa kempingowa Chelsea, zestaw z lalką i akcesoriami;Lalki/Lalki celebrytki;94.99;77.86065573770492;Dzięki zestawowi do zabawy Klub Chelsea z przyczepą kempingową i lalką dzieci mogą w każdej chwili wyruszyć ku przygodzie - zestaw przekształca się w obozowisko, a dołączone elementy do zabawy, w tym szczeniaczek, inspirują wyobraźnię! Przymocuj przyczepę do samochodu, umieść lalkę Chelsea w fotelu kierowcy i popchnij auto, aby ruszyć w drogę! Jeśli chcesz pojeździć samym kabrioletem lub rozbić obóz, wystarczy odłączyć przyczepę. Odczep haczyk i otwórz ją, aby odsłonić przytulne wnętrze! Dzięki elementom do zabawy możesz stworzyć odpowiedni klimat do śpiewania piosenek i snucia opowieści przy ognisku - ustaw palenisko, wyjmij 2 kijki z piankami i łap za gitarę. Łóżko piętrowe z drabinką zapewnia spokojny sen nawet w drodze. Kuchnia ma pełne wyposażenie:  zlew, kuchenkę, lodówkę z otwieranymi drzwiami, w której można schować dwa kubki znajdujące się w zestawie, ręcznik do zawieszenia przy blacie oraz garnuszek ze specjalnym zaczepem do przymocowania na palniku kuchenki. Są też drzwiczki dla psów, aby szczeniaczek mógł z łatwością wchodzić i wychodzić! Podczas krótkich wycieczek autem otwierany bagażnik pomieści walizkę i inne potrzebne rzeczy. Wiek dziecka:  od 3 lat.  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-przyczepa-kempingowa-chelsea-zestaw-z-lalka-i-akcesoriami-6503680.jpg
1;Rainbow High, Fashion Doll, Mila Berrymore, lalka modowa;Lalki/Lalki celebrytki;99.99;81.95901639344262;Legenda głosi, że na końcu tęczy znajduje się garnek złota. Ale prawda jest taka, że to coś jeszcze bardziej niesamowitego. Tylko nieliczni, którzy znają się na modzie, mogą podążać za tęczą do Rainbow High, kolorowej szkoły mody, w której każdy uczy się pokazywać swoje prawdziwe kolory. W zestawie:  lalka Mila z długimi włosami do czesania akcesoria do włosów i grzebień dodatkowa odzież dla lalek (2 komplety) + wieszaki akcesoria modowe (kolczyki, torebka, buty...) stojak na lalkę Lalka zgina się w przegubach. Rozmiar:  30,48x 8,13x30,48 cm Zbierz kolekcję pięknych lalek z Rainbow High!  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-fashion-doll-mila-berrymore-lalka-modowa-7208078.png
1;L.O.L. Surprise, Tweens, Nia Regal, lalka modowa;Lalki/Lalki celebrytki;69.99;57.36885245901639;Przedstawiamy L.O.L. Surprise! Tweens! Te charakterne Be Tweens są dostępne z niespodziankami i wyjątkowym opakowaniem. 4 nowe postaci do zebrania:  Chloe Pepper, Marilyn Star, Emma Emo i Nia Regal W opakowaniu 15 niespodzianek Opakowaniem można się bawić Pudełko z okienkiem  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-tweens-nia-regal-lalka-modowa-7295592.jpg
1;Barbie, Cutie Reveal, Zimowa kraina, lalka jelonek, 1 szt.;Lalki/Lalki celebrytki;139.99;114.74590163934428;Rozpakowywanie lalek Barbie Cutie Reveal z serii Zimowa Kraina to świetna zabawa dzięki 10 niespodziankom, w tym lalce Barbie z punktami zgięcia! Odkrywaj miękkie zimowe zwierzątka i ubranka, niespodzianki oraz transformacje ze zmianą koloru. W opakowaniu znajdziesz lalkę Barbie w kostiumie mięciutkiego zwierzątka. Do wyboru masz jelonka, sowę śnieżną, pieska husky i niedźwiadka polarnego. Odkryj wygląd lalki! Zdejmij kostium, aby odkryć lalkę Barbie z punktami zgięcia, długimi kolorowymi włosami i lśniącymi detalami. Otwórz 4 torebki-niespodzianki, aby znaleźć ubranko i akcesoria:  uroczą spódniczkę, parę zimowych bucików, gąbkę-grzebień, opaskę na głowę inspirowaną zwierzątkiem i specjalnie dobrane minizwierzątko! Przebieraj lalkę Barbie i dobieraj akcesoria - po przekręceniu na drugą stronę góra kostiumu staje się kurtką z niezwykle miękkiego materiału z uroczym nadrukiem np. w kropki lub gwiazdki. Dodatkowo głowa kostiumu zmienia się w legowisko dla minizwierzątka! Lalka nie stoi samodzielnie. Kolory i elementy dekoracyjne mogą się różnić.  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-cutie-reveal-zimowa-kraina-lalka-jelonek-1-szt-7276349.jpg
1;Rainbow High, Cheer Doll, Jade Hunter, lalka modowa;Lalki/Lalki celebrytki;79.99;65.5655737704918;Legenda głosi, że na końcu tęczy znajduje się garnek złota. Ale prawda jest taka, że to coś jeszcze bardziej niesamowitego. Tylko nieliczni, którzy znają się na modzie, mogą podążać za tęczą do Rainbow High, kolorowej szkoły mody, w której każdy uczy się pokazywać swoje prawdziwe kolory. Przedstawiamy Jade Hunter w zupełnie innym stylu! Jest teraz cheerleaderką i dopinguje drużynę swojej szkoły! Jej kolor to zielony! Laleczka ma wspaniałe rysy twarzy, długie rzęsy i piękne włosy, które można rozczesać. Jest w pełni ruchoma, jej ramiona i nogi zginają się, więc może przybrać mnóstwo efektownych poz. Jej stylizację dopełnia kucyk z uroczą kokardką i spinką. Jade ma również pompony, więc może stylowo dopingować drużynę Rainbow High! Zestaw zawiera:  modną lalkę Jade Hunter w stroju cheerleaderk, 1 parę butów, skarpetki, pompony, grzebień do włosów. Rada:  Podczas pierwszego rozpakowywania lalki dokładnie umyj jej włosy, aby usunąć żel do stylizacji i pozwól włosom całkowicie wyschnąć. Następnie jej włosy są gotowe do wyszczotkowania. Zbierz kolekcję pięknych lalek z Rainbow High! Wysokość lalki:  ok. 28 cm.  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-cheer-doll-jade-hunter-lalka-modowa-6867765.jpg
1;Barbie, Dreamtopia, syrenka ze światełkami, lalka;Lalki/Lalki celebrytki;109.99;90.15573770491802;Lalka syrenka z kolekcji Barbie Dreamtopia  niezwykły wygląd i migoczące światełka zanurz syrenkę w wodzie i zachwyć się podświetlanym ogonem naciśnij gorset lalki, aby zobaczyć światełka również bez zanurzania w wodzie lalka ma tęczową płetwę, gorset z perełkami, różowe pasemka we włosach i tiarę księżniczki baterie AG13 w zestawie Wiek:  od 3 lat  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-dreamtopia-syrenka-ze-swiatelkami-lalka-7102350.jpg
1;Barbie Fashionistas, Modna przyjaciółka, lalka nr 178;Lalki/Lalki celebrytki;27.99;22.942622950819672;Barbie i Ken celebrują różnorodność z lalkami Fashionistas, które zachęcają dzieci do tworzenia opowieści osadzonych w prawdziwym świecie oraz podążania za marzeniami.  Niezwykła linia lalek Barbie Fashionistas prezentuje różne typy sylwetki oraz zróżnicowane połączenia odcieni skóry, fryzur, kolorów oczu i włosów, a także mnóstwo ubranek inspirowanych najnowszymi trendami! Każda lalka Barbie ma na sobie wyjątkowy strój, który pasuje do jej stylu. Stylizację dopełniają modne akcesoria, takie jak para bucików czy bransoletka. Różnorodność lalek wyraża się też poprzez ich fryzury o rożnych kolorach, typach włosów i stylach. Winylowe opakowanie wielokrotnego użytku z suwakiem może posłużyć do przechowywania lalki lub ubranek i akcesoriów Barbie. Można je też dowolnie ozdobić, np. za pomocą naklejek. Opakowanie możesz wykorzystać na wiele sposobów - spakuj w nie zabawki, noś ze sobą i personalizuj. To doskonały prezent dla dzieci od 3 roku życia, który pozwoli im opowiadać własne historyjki i odkrywać niezwykły świat Barbie. Większa różnorodność sprawia, że kolekcjonowanie lalek Barbie Fashionistas daje jeszcze więcej radości. Zbierz je wszystkie, aby poszerzyć możliwości zabawy (sprzedawane oddzielnie, zależnie od dostępności). Informacje dodatkowe:  Lalki są sprzedawane oddzielnie i w zależności od dostępności. Lalki nie stoją samodzielnie. Płaskie buciki pasują na lalki z ruchomymi kostkami lub płaskimi stopami. Kolory i elementy dekoracyjne mogą się różnić. Wiek dziecka:  od 3 lat  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-fashionistas-modna-przyjaciolka-lalka-178-7193075.jpg
1;Barbie, Baśniowa fryzura, lalka z akcesoriami;Lalki/Lalki celebrytki;89.99;73.76229508196721;Jednorożec czy syrenka? Lalka Barbie Baśniowa fryzura uwielbia magiczną przemianę – ma dwie fantazyjne stylizacje, z których każda zawiera kolorową opaskę z pasemkami włosów, dobraną tematycznie koszulkę i akcesoria.  Transformacja w syrenkę lub jednorożca zajmuje tylko chwilę!  Załóż koszulkę z grafiką jednorożca lub syrenki, a potem pasującą do niej opaskę.  Kolorowe pasemka przyczepione do opaski nadają jeszcze więcej barw włosom Barbie z odcieniami różu i błękitu oraz błyszczącymi kosmykami.  Wymyśl bajkową fryzurę, upinając długie, kolorowe, błyszczące włosy lalki Barbie za pomocą dołączonych do zestawu gumek do włosów i 2 spinek.Wow! Co za efekt!  Dzieci pokochają przemianę lalki Barbie. W zestawie:   lalka Barbie w ubranku,  dwie opaski z pasemkami włosów,  dwie koszulki z nadrukiem,  druga para bucików,  gumki do włosów,  dwie spinki.  szczotka do włosów. Informacje dodatkowe:   Lalka nie stoi samodzielnie.  Kolory i elementy dekoracyjne mogą się różnić.  Wiek dziecka:  od 3 lat.  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-basniowa-fryzura-lalka-z-akcesoriami-6730218.jpg
